energy,length
0.50,-74.80
0.69,-75.44
0.89,-75.58
1.08,-75.58
1.28,-75.54
1.47,-75.49
1.66,-75.44
1.86,-75.40
2.05,-75.36
2.24,-75.33
2.44,-75.30
2.63,-75.27
2.83,-75.25
3.02,-75.23
3.21,-75.22
3.41,-75.21
3.60,-75.20
3.80,-75.19
3.99,-75.19
4.18,-75.18
4.38,-75.18
4.57,-75.17
4.77,-75.17
4.96,-75.17
5.15,-75.17
5.35,-75.16
5.54,-75.16
5.73,-75.16
5.93,-75.16
6.12,-75.16
6.32,-75.16
6.51,-75.16
6.70,-75.15
6.90,-75.15
7.09,-75.15
7.29,-75.15
7.48,-75.15
7.67,-75.15
7.87,-75.15
8.06,-75.15
8.26,-75.15
8.45,-75.15
8.64,-75.15
8.84,-75.14
9.03,-75.14
9.22,-75.14
9.42,-75.14
9.61,-75.14
9.81,-75.14
10.00,-75.14